Variable;Country;2023;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;1995;1994;1993;1992;1991;1990;1989;1988;1987;1986;1985;1984;1983;1982;1981;1980;1979;1978;1977;1976;1975;1974;1973;1972;1971;1970;1969;1968;1967;1966;1965;1964;1963;1962;1961;1960
Population 15 to 64 years (NPAN);Malta;367.634;360.425;353.012;349.863;342.116;326.915;314.295;305.953;300.163;294.261;290.121;288.003;287.41;288.278;288.586;286.872;283.81;281.005;278.987;276.45;273.407;270.461;267.416;261.278;255.571;253.253;250.717;249.887;249.093;246.175;242.914;239.88;236.971;234.074;231.68;229.495;227.502;225.953;223.367;220.659;218.937;217.189;215.428;213.35;210.503;207.706;204.498;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Population 15 to 64 years (NPAN);Netherlands;11356.385;11332.586;11308.838;11297.54;11258.636;11203.842;11159.712;11117.06;11080.007;11063.083;11068.75;11097.314;11135.55;11138.764;11107.332;11072.881;11042.937;11025.096;11013.725;10999.728;10976.601;10935.176;10871.679;10800.501;10739.673;10687.461;10641.729;10603.556;10568.688;10535.003;10490.211;10433.567;10371.505;10305.276;10245.363;10187.409;10110.885;10018.802;9922.945;9814.992;9702.212;9596.175;9488.193;9361.963;9223.978;9095.217;8977.09;8860.412;8728.338;8596.711;8484.733;8381.05;8271.843;8155.655;8044.699;7943.639;7854.455;7757.862;7644.18;7526.016;7405.996;7272.1;7121.008;7009.168
Population 15 to 64 years (NPAN);Austria;5922.274;5924.76;5927.82;5927.633;5917.951;5906.898;5892.941;5866.132;5811.821;5753.634;5718.762;5696.435;5675.395;5648.125;5628.928;5615.759;5597.915;5586.595;5577.247;5561.109;5531.17;5489.577;5446.2;5410.26;5383.258;5361.372;5347.247;5335.962;5329.994;5329.894;5319.524;5284.258;5233.254;5185.742;5148.388;5129.048;5126.014;5120.848;5107.369;5080.107;5031.471;4977.651;4913.282;4845.106;4800.849;4771.363;4740.528;4706.563;4691.112;4692.908;4675.151;4639.368;4610.443;4596.768;4597.53;4608.377;4615.087;4613.493;4614.603;4618.941;4620.296;4615.138;4617.108;4632.573
Population 15 to 64 years (NPAN);Poland;24385.196;24581.851;24792.588;25038.57;25306.149;25562.757;25824.764;26077.933;26314.998;26535.105;26741.067;26914.292;27031.084;27060.239;27102.001;27121.768;27034.998;26939.333;26835.191;26718.722;26592.855;26459.349;26312.917;26135.518;26124.354;26091.588;25869.596;25681.961;25517.576;25353.129;25188.47;25025.368;24858.808;24708.014;24517.676;24440.654;24338.663;24229.343;24117.568;23998.19;23837.492;23647.738;23454.962;23260.584;23105.954;23033.144;22890.281;22730.112;22523.448;22279.102;21985.937;21668.901;21349.347;21001.613;20881.63;20536.431;20140.808;19801.688;19505.818;19131.421;18693.445;18357.215;18082.372;17899.907
Population 15 to 64 years (NPAN);Portugal;6618.85;6612.238;6612.238;6612.238;6621.663;6639.341;6672.187;6715.095;6759.544;6807.509;6870.043;6933.167;6981.489;7013.108;7029.408;7036.435;7033.532;7023.147;7016.927;7016.878;7015.437;7002.679;6978.257;6939.317;6894.301;6855.855;6819.858;6784.196;6748.61;6711.345;6677.977;6649.603;6628.021;6606.852;6581.398;6557.225;6530.461;6499.822;6465.266;6417.125;6355.808;6292.15;6224.997;6142.103;6049.32;5963;5884.53;5815.355;5662.28;5449.97;5349.27;5333.69;5343.034;5368.574;5420.645;5483.195;5522.655;5575.9;5646.34;5687.845;5680.88;5655.405;5615.434;5566.299
Population 15 to 64 years (NPAN);Romania;12079.271;12225.983;12387.014;12552.71;12705.778;12850.614;13007.956;13174.481;13336.241;13485.058;13589.16;13645.833;13707.288;13779.548;13866.407;13997.588;14264.021;14493.53;14577.795;14663.611;14738.318;14851.476;15149.594;15350.225;15324.36;15319.273;15337.142;15339.175;15311.03;15267.026;15211.928;15150.669;15233.582;15334.385;15278.998;15210.554;15149.727;15074.537;14967.133;14817.066;14570.95;14246.062;14053.185;13997.785;13977.348;13963.14;13936.385;13915.767;13856.621;13769.334;13672.73;13554.801;13417.944;13261.175;13104.104;12995.934;-;-;-;-;-;-;-;-
Population 15 to 64 years (NPAN);Slovenia;1361.901;1360.54;1356.471;1355.793;1355.101;1354.545;1360.908;1372.286;1383.437;1394.552;1404.254;1412.464;1418.37;1420.914;1417.857;1408.601;1406.295;1408.465;1405.846;1404.598;1403.014;1400.009;1397.019;1393.632;1386.549;1382.774;1383.809;1381.969;1380.751;1378.554;1376.335;1376.402;1374.509;1369.531;1364.949;1362.156;1357.007;1334.637;1311.708;1301.536;1287.641;1270.096;1255.124;1240.618;1226.655;1213.168;1200.468;1188.865;1178.557;1169.754;1162.323;1155.686;1149.025;1141.759;1133.681;1124.974;1115.9;1106.892;1098.274;1090.062;1082.156;1074.645;1067.616;1061.109
Population 15 to 64 years (NPAN);Slovakia;3596.863;3620.765;3644.827;3674.22;3703.519;3733.312;3764.51;3795.364;3822.281;3843.588;3861.463;3875.563;3881.765;3883.6;3884.143;3877.31;3864.217;3849.754;3833.785;3815.639;3794.581;3771.292;3744.343;3721.742;3697.653;3664.92;3632.989;3601.203;3568.4;3531.692;3493.495;3459.136;3435.867;3413.795;3384.348;3359.195;3339.999;3325.672;3311.051;3294.053;3268.282;3232.187;3194.108;3158.908;3131.047;3106.361;3082.069;3056.253;3028.538;3002.727;2974.9;2940.703;2902.945;2879.533;2856.13;2817.359;2778.067;2737.798;2699.31;2666.014;2634.492;2602.516;2574.967;2505.648
Population 15 to 64 years (NPAN);Finland;3420;3420;3416.568;3419.988;3426.915;3437.118;3451.266;3463.663;3475.969;3491.73;3508.395;3524.867;3539.602;3549.611;3547.873;3536.874;3518.86;3507.284;3499.311;3488.776;3483.581;3478.333;3471.764;3464.359;3455.407;3441.596;3427.055;3416.619;3409.716;3403.924;3396.253;3385.052;3369.982;3355.846;3346.909;3344.914;3345.524;3343.027;3338.686;3325.775;3304.863;3281.969;3257.488;3236.446;3220.829;3207.264;3195.041;3185.441;3174.194;3156.513;3132.74;3103.864;3070.279;3050.8;3051.054;3042.081;3014.406;2984.132;2958.147;2930.542;2893.726;2847.788;2800.978;2759.325
Population 15 to 64 years (NPAN);Sweden;6498.518;6479.081;6472.608;6440.406;6401.073;6347.082;6288.36;6221.975;6169.542;6139.497;6121.153;6114.834;6113.641;6106.914;6084.664;6050.823;6007.507;5951.916;5897.537;5854.451;5815.247;5775.928;5738.948;5705.139;5678.687;5659.501;5645.289;5634.29;5621.202;5593.538;5562.488;5543.375;5525.74;5501.901;5466.961;5433.371;5410.542;5396.36;5394.456;5391.77;5381.373;5367.715;5349.926;5328.427;5304.598;5285.973;5273.189;5263.773;5259.246;5259.167;5266.858;5280.539;5286.712;5266.951;5229.771;5204.018;5189.263;5167.954;5133.813;5093.285;5054.149;5015.32;4970.77;4926.452
Population 65 years and over (NPON);Belgium;-;-;-;2217.202;2185.051;2148.057;2112.949;2079.073;2046.923;2012.56;1976.817;1942.098;1903.961;1871.671;1848.469;1828.252;1814.894;1809.539;1804.259;1789.81;1771.255;1754.391;1738.064;1722.414;1706.273;1688.022;1665.839;1639.344;1611.074;1584.11;1560.839;1537.894;1513.234;1487.37;1462.327;1434.345;1409.767;1388.809;1362.979;1348.389;1362.03;1388.996;1401.14;1405.894;1405.479;1393.156;1380.991;1373.226;1364.735;1353.009;1338.473;1321.621;1305.071;1293.145;1280.522;1264.513;1245.034;1220.213;1195.791;1171.833;1151.407;1133.299;1111.312;1095.426
Population 65 years and over (NPON);Bulgaria;-;-;-;1504.068;1498.604;1487.514;1477.012;1466.951;1451.058;1428.998;1406.569;1388.275;1370.765;1354.457;1345.259;1339.819;1336.205;1335.323;1336.636;1337.291;1337.481;1337.456;1325.047;1321.399;1314.944;1299.62;1286.646;1275.826;1262.089;1242.756;1221.14;1198.316;1174.575;1148.616;1126.026;1102.889;1074.199;1043.374;1019.647;1003.957;1005.604;1029.714;1053.686;1051.308;1022.956;1009.02;997.938;972.161;946.447;919.719;894.094;868.299;842.275;814.163;787.01;760.831;736.168;714.043;687.433;663.923;646.224;630.312;611.584;590.848
Population 65 years and over (NPON);Czechia;-;-;-;2144.976;2109.124;2063.4;2014.553;1960.667;1906.409;1852.975;1796.581;1734.527;1669.203;1618.245;1577.935;1534.486;1497.338;1468.981;1445.02;1428.45;1420.219;1416.036;1412.523;1414.36;1414.758;1406.65;1395.055;1380.264;1364.256;1349.538;1335.55;1321.608;1308.458;1296.983;1285.313;1268.651;1249.248;1232.602;1222.309;1225.664;1257.162;1305.487;1349.073;1386.433;1397.242;1382.01;1362.801;1341.551;1317.283;1290.712;1263.99;1236.056;1207.297;1188.087;1169.717;1141.863;1109.579;1074.628;1040.077;1007.041;976.603;949.728;923.712;911.73
Population 65 years and over (NPON);Denmark;-;-;-;1166.132;1146.027;1126.063;1105.618;1084.797;1062.776;1038.932;1013.267;983.942;950.932;918.32;889.178;864.269;843.893;828.886;817.765;808.54;801.465;796.468;793.264;791.173;790.435;790.968;792.228;794.252;797.088;799.872;802.211;803.654;803.002;801.207;798.029;793.471;788.413;781.379;771.494;763.813;758.254;751.495;744.751;738.094;729.442;718.041;704.241;690.573;677.558;662.747;647.419;633.051;619.196;604.945;590.888;577.568;564.562;552.915;542.196;531.375;520.119;508.882;497.323;485.216
Population 65 years and over (NPON);Germany;-;-;-;18181.159;17987.107;17796.622;17609.708;17404.942;17194.445;16970.761;16783.983;16659.294;16723.863;16873.018;16815.378;16623.879;16409.017;16084.682;15618.763;15113.723;14649.407;14252.271;13879.868;13522.633;13209.354;13016.936;12911.597;12794.615;12637.112;12451.022;12268.221;12104.377;11972.361;11853.236;11755.706;11682.78;11585.727;11455.923;11316.929;11270.647;11441.556;11740.57;12028.081;12213.393;12215.095;12103.97;11951.503;11802.882;11677.046;11509.772;11308.105;11100.543;10886.676;10681.564;10477.286;10275.776;10041.939;9769.397;9511.172;9271.267;9044.867;8835.477;8573.576;8358.426
Population 65 years and over (NPON);Estonia;-;-;-;268.465;264.068;260.115;256.428;252.399;248.487;244.216;239.918;236.336;233.32;232.235;232.63;233.235;232.885;229.99;226.505;223.2;219.565;215.765;212.17;209.445;196.718;202.8;200.701;197.342;194.359;191.973;189.852;187.507;184.962;182.577;173.131;170.48;175.49;174.096;174.396;176.428;177.801;179.669;182.724;184.517;178.493;177.236;181.123;178.835;176.459;173.461;170.466;167.427;163.827;160.529;157.81;154.72;150.929;147.422;143.946;140.071;136.428;133.698;131.383;128.569
Population 65 years and over (NPON);Ireland;-;-;-;727.608;703.826;680.044;657.583;635.518;614.69;594.551;574.157;554.795;536.19;518.591;502.565;487.601;474.623;465.09;459.038;452.164;444.086;437.442;431.493;426.262;422.743;420.361;417.485;414.535;412.047;409.658;408.003;406.293;403.687;400.835;397.958;394.27;389.708;388.094;386.602;378.693;372.3;370.8;368.95;365.818;362.118;358.5;354.8;351.25;347.4;343.2;339.05;335;331.5;328.95;326.95;325.7;324.75;323.55;322.55;321.5;319.75;317.55;315.95;315.4
Population 65 years and over (NPON);Greece;-;-;-;2397.028;2374.737;2351.717;2329.951;2306.297;2280.963;2253.8;2223.141;2194.109;2163.087;2127.904;2096.464;2073.588;2057.755;2041.037;2018.263;1989.576;1956.626;1921.272;1912.183;1895.121;1844.36;1796.871;1748.578;1698.602;1646.568;1595.257;1542.602;1492.622;1443.27;1398.862;1369.861;1346.553;1327.901;1312.712;1313.868;1316.084;1306.548;1297.207;1284.002;1267.09;1245.855;1171.018;1178.362;1142.985;1106.728;1074.512;1043.728;1013.642;984.263;972.701;875.277;839.523;817.751;795.145;773.502;756.488;737.806;717.478;698.849;-
Population 65 years and over (NPON);Spain;-;-;-;9319.118;9186.445;9032.535;8891.057;8758.392;8643.089;8516.018;8351.05;8195.06;8055.518;7896.698;7734.184;7582.131;7456.727;7365.654;7247.016;7158.281;7119.759;7036.694;6903.599;6759.17;6628.73;6489.169;6330.881;6174.851;6018.436;5860.881;5709.215;5562.901;5420.427;5279.384;5139.69;4999.076;4854.4;4716.362;4597.86;4504.314;4426.943;4347.728;4268.486;4049.298;4076.074;3975.612;3876.052;3780.154;3681.717;3585.798;3500.686;3410.708;3327.214;3230.949;3149.431;3067.682;2981.296;2895.82;2816.532;2742.412;2671.997;2605.739;2541.597;2469.819
Population 65 years and over (NPON);France;-;-;-;13870.018;13597.584;13314.015;13030.653;12727.271;12400.506;12059.828;11704.902;11356.221;11032.292;10802.319;10672.415;10551.84;10434.45;10365.487;10285.735;10162.119;10031.98;9914.258;9780.808;9642.73;9498.756;9359.985;9218.547;9061.426;8894.789;8723.146;8558.823;8395.566;8228.107;8059.053;7897.392;7738.747;7574.817;7407.506;7233.305;7165.796;7238.065;7349.978;7487.388;7601.542;7591.711;7493.048;7382.378;7283.56;7193.077;7085.152;6971.149;6857.061;6742.243;6621.048;6505.752;6394.522;6265.073;6118.519;5982.461;5852.943;5737.924;5616.622;5478.552;5386.888
Population 65 years and over (NPON);Croatia;-;-;-;859.315;846.191;831.98;819.812;809.574;800.016;788.916;743.03;769.248;733.12;764.115;769.261;769.83;765.396;758.909;751.445;741.283;729.977;717.123;701.04;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Population 65 years and over (NPON);Italy;-;-;-;13900.311;13776.152;13668.789;13586.457;13449.152;13294.414;13117.008;12827.385;12505.325;12271.057;12127.54;12029.158;11908.794;11770.684;11613.305;11413.514;11171.735;10945.957;10754.547;10579.709;10403.85;10225.069;10056.777;9886.766;9701.133;9485.49;9275.586;9085.91;8884.511;8667.873;8449.839;8233.936;8015.839;7800.755;7594.587;7394.439;7292.47;7347.502;7439.755;7474.63;7419.792;7292.756;7138.575;6976.381;6826.461;6678.172;6518.051;6356.212;6199.611;6034.149;5862.95;5710.05;5583.7;5457.3;5320.9;5194.95;5074.6;4974.65;4887.45;4778.95;4673.8
Population 65 years and over (NPON);Cyprus;-;-;-;146.096;143;139.166;135.132;130.641;125.98;121.364;116.724;112.442;108.476;104.624;101.037;97.858;95.043;92.173;89.494;87.23;85.107;83.181;80.466;78.079;72.876;75.533;74.45;73.181;71.846;70.485;69.067;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Population 65 years and over (NPON);Latvia;-;-;-;392.556;390.196;388.918;388.383;387.247;385.831;383.345;380.699;379.665;380.343;382.658;384.824;385.573;384.947;381.479;376.54;372.044;366.968;361.061;356.528;354.219;352.456;350.564;347.025;342.22;338.108;335.618;332.574;327.799;319.95;314.95;314.578;310.977;306.01;302.711;302.439;304.912;307.416;311.739;318.457;324.333;316.048;325.642;322.084;317.845;313.596;308.505;302.947;297.011;289.524;273.976;-;-;-;-;-;-;-;-;-;-
Population 65 years and over (NPON);Lithuania;-;-;-;556.512;554.175;552.085;550.997;549.362;547.821;544.927;542.469;542.766;544.32;545.101;546.323;546.843;543.506;538.507;533.531;527.632;518.168;506.296;492.535;483.646;479.775;473.027;464.439;455.993;447.852;440.314;432.318;422.518;412.962;403.912;394.999;385.303;376.033;369.129;364.999;364.217;366.811;371.782;377.363;382.795;385.864;370.608;378.978;373.592;368.525;362.288;352.051;339.135;325.575;306.779;-;-;-;-;-;-;-;-;-;-
Population 65 years and over (NPON);Luxembourg;-;-;-;91.762;89.557;87.268;85.17;83.044;80.899;78.607;76.215;74.159;72.172;70.565;69.469;68.185;67.261;66.27;65.333;64.296;63.264;62.406;61.43;61.421;61.482;60.617;59.717;58.625;57.234;55.788;54.466;53.294;52.14;51.246;50.531;49.933;49.42;49.034;48.588;48.427;48.758;49.23;49.612;49.691;49.339;48.738;47.938;47.271;46.756;46.042;45.195;44.201;43.255;42.499;41.699;40.799;39.799;38.999;38.399;37.299;36.199;35.299;34.299;33.899
Population 65 years and over (NPON);Hungary;-;-;-;1959.45;1916.097;1870.962;1840.096;1812.403;1780.406;1748.022;1691.698;1688.795;1612.593;1667.309;1651.881;1632.087;1614.507;1557.076;1584.156;1572.345;1563.168;1555.58;1548.448;1538.027;1526.242;1514.169;1498.726;1484.381;1468.119;1450.113;1434.538;1420.79;1405.205;1384.802;1382.626;1380.117;1357.25;1335.356;1309.136;1297.654;1323.816;1366.443;1407.6;1432.68;1426.127;1406.098;1383.224;1357.462;1326.58;1296.792;1271.734;1242.411;1215.997;1190.474;1167.08;1144.359;1115.107;1082.237;1046.166;1013.762;984.131;955.569;928.935;899.767
Population 65 years and over (NPON);Malta;-;-;-;96.234;93.615;90.849;88.048;84.947;81.56;77.976;74.22;70.474;66.905;63.468;60.116;57.595;56.487;56.009;54.034;52.847;51.546;49.675;48.98;50.778;53.333;50.777;49.729;48.175;46.753;45.463;44.668;43.825;42.897;41.92;40.787;39.752;38.971;38.118;35.722;33.662;32.208;29.618;29.394;29.946;30.066;30.048;30.148;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Population 65 years and over (NPON);Netherlands;-;-;-;3425.045;3353.28;3276.56;3199.388;3122.484;3046.497;2963.355;2871.685;2770.356;2655.657;2566.637;2505.072;2443.321;2391.589;2349.406;2309.565;2269.912;2235.805;2209.585;2186.608;2163.472;2141.688;2120.327;2096.779;2072.356;2047.225;2020.785;1996.76;1972.612;1946.669;1919.633;1891.315;1858.537;1822.041;1786.601;1749.467;1719.102;1698.286;1678.187;1655.134;1628.666;1598.11;1565.111;1531.82;1502.235;1474.788;1442.856;1410.78;1381.597;1353.837;1325.362;1295.974;1266.556;1235.482;1204.237;1176.091;1147.619;1120.069;1093.742;1064.318;1033.703
Population 65 years and over (NPON);Austria;-;-;-;1704.957;1681.093;1657.776;1636.255;1615.242;1594.448;1570.293;1541.958;1511.807;1486.978;1475.492;1461.231;1436.551;1411.313;1378.093;1332.766;1284.422;1255.689;1249.849;1240.149;1235.842;1231.691;1226.965;1220.332;1212.232;1202.445;1191.269;1179.982;1169.34;1158.88;1146.612;1132.855;1118.313;1102.167;1086.132;1073.815;1071.027;1086.967;1116.158;1143.812;1161.899;1166.513;1160.161;1149.761;1137.874;1127.066;1113.484;1098.004;1082.115;1066.14;1051.055;1036.361;1020.286;1001.429;979.154;958.164;937.449;916.714;898.854;879.734;861.456
Population 65 years and over (NPON);Poland;-;-;-;7000.934;6811.395;6601.702;6390.506;6171.564;5959.591;5759.873;5568.33;5395.918;5248.372;5170.702;5153.082;5138.832;5123.943;5096.167;5047.048;4984.796;4919.497;4849.271;4760.74;4684.923;4619.303;4556.612;4472.277;4380.298;4277.088;4172.582;4078.716;3994.341;3920.593;3834.941;3743.11;3662.212;3577.349;3524.663;3495.941;3482.027;3494.418;3532.728;3568.455;3590.753;3569.776;3512.867;3434.244;3338.581;3238.702;3127.59;3008.271;2893.279;2789.16;2675.375;2608.199;2495.207;2349.076;2249.659;2142.357;2034.555;1946.118;1853.488;1774.035;1702.766
Population 65 years and over (NPON);Portugal;-;-;-;2295.036;2262.325;2228.75;2194.957;2158.732;2122.996;2087.505;2051.225;2020.126;1992.034;1953.409;1914.35;1884.332;1859.019;1836.157;1814.038;1788.686;1761.583;1735.825;1705.274;1665.503;1628.057;1597.032;1562.911;1529.016;1495.949;1462.768;1432.12;1402.972;1325.804;1339.107;1303.109;1269.883;1241.474;1215.16;1189.138;1169.439;1159.795;1148.985;1104.209;1076.246;1067.915;1036.005;1008.51;986.18;923.445;855.78;840.815;837.07;836.058;818.963;792.115;777.455;764.12;756.445;741.7;730.21;729.45;722.74;713.744;698.995
Population 65 years and over (NPON);Romania;-;-;-;3683.38;3629.06;3572.795;3521.685;3464.796;3405.478;3336.075;3277.424;3250.274;3249.355;3265.53;3287.089;3243.248;3148.728;3121.684;3079.543;3034.152;3047.633;3048.19;3030.161;2989.236;2936.992;2889.212;2831.333;2775.525;2721.201;2659.105;2597.634;2537.741;2478.639;2415.227;2348.836;2288.443;2237.258;2188.538;2155.407;2134.964;2161.737;2229.387;2268.129;2277.431;2265.909;2242.039;2199.032;2133.048;2054.306;1976.023;1916.638;1859.4;1799.834;1745.779;1692.276;1649.104;-;-;-;-;-;-;-;-
Population 65 years and over (NPON);Slovenia;-;-;-;429.859;418.529;407.158;395.844;385.264;374.744;364.746;356.125;348.572;341.972;338.605;336.147;330.49;323.291;316.252;309.679;303.319;297.405;291.601;284.977;278.403;271.994;265.506;258.917;252.227;244.596;236.89;230.59;224.557;218.956;213.974;210.18;206.587;202.722;199.1;196.371;195.9;198.986;204.396;208.081;209.819;209.207;206.563;202.353;197.348;192.148;186.8;181.189;175.559;170.195;165.289;161.023;157.362;154.016;150.541;146.643;142.207;137.389;132.485;127.907;123.953
Population 65 years and over (NPON);Slovakia;-;-;-;918.6;889.747;859.587;829.757;799.297;770.408;745.008;721.679;700.442;684.555;674.445;664.736;654.84;646.753;638.92;631.274;624.418;618.951;614.656;614.028;615.223;612.758;607.737;601.015;592.066;582.961;573.629;564.343;555.69;551.436;547.155;537.818;525.54;511.288;497.46;487.27;480.255;484.38;499.122;512.12;520.959;518.563;508.22;497.688;486.903;475.653;462.168;447.621;433.814;421.739;414.599;406.248;393.04;378.573;363.77;349.038;334.063;320.542;309.088;297.673;280.898
Population 65 years and over (NPON);Finland;-;-;-;1243.606;1218.056;1192.078;1164.646;1136.539;1107.245;1073.967;1037.37;998.917;960.34;925.741;901.255;883.65;871.974;854.941;836.053;822.068;805.88;792.968;782.285;772.183;762.994;755.654;747.822;737.786;726.068;712.923;700.69;689.941;678.803;667.349;656.281;645.104;634.321;623.555;612.002;605.106;599.734;590.547;581.476;572.48;560.964;547.756;532.718;516.423;500.161;483.124;466.327;449.9;434.566;421.494;408.53;396.576;386.471;376.143;366.489;356.724;346.169;338.1;331.535;323.497
Population 65 years and over (NPON);Sweden;-;-;-;2076.727;2050.539;2020.928;1991.502;1962.042;1930.056;1892.546;1850.245;1806.475;1760.957;1714.012;1667.929;1626.747;1594.925;1573.407;1559.856;1547.795;1537.525;1532.93;1531.476;1531.721;1535.106;1540.015;1542.835;1543.314;1541.724;1538.116;1535.326;1533.141;1528.74;1521.702;1511.035;1498.731;1485.06;1465.61;1439.364;1417.305;1402.54;1386.396;1369.901;1353.748;1334.62;1312.175;1287.173;1262.301;1237.946;1210.072;1180.992;1154.128;1127.264;1099.41;1073.703;1051.576;1029.627;1005.167;980.414;957.95;937.093;917.454;898.119;879.469
Total population (demographic statistics) (NPTN);Belgium;11740.388;11670.366;11589.241;11544.241;11488.98;11427.054;11375.158;11331.422;11274.196;11209.057;11159.407;11106.931;11038.264;10920.272;10796.493;10709.973;10625.7;10547.958;10478.617;10421.137;10376.133;10332.785;10286.57;10251.25;10226.419;10203.008;10181.245;10156.637;10136.811;10115.603;10084.475;10045.158;10004.486;9967.378;9937.697;9901.664;9870.234;9861.823;9858.308;9855.372;9855.52;9856.303;9858.982;9859.242;9848.382;9839.534;9830.358;9818.227;9800.7;9772.419;9741.72;9711.115;9673.162;9655.549;9646.032;9618.756;9580.991;9527.807;9463.667;9378.113;9289.77;9220.578;9183.948;9153.489
Total population (demographic statistics) (NPTN);Bulgaria;6807.168;6848.138;6889.355;6934.015;6975.761;7025.037;7075.947;7127.822;7177.991;7223.938;7265.115;7305.888;7348.327;7395.599;7444.442;7492.561;7545.338;7601.022;7658.972;7716.86;7775.327;7837.161;8009.142;8170.172;8210.624;8256.786;8312.068;8362.825;8406.067;8443.591;8472.313;8540.164;8632.367;8718.289;8876.972;8981.446;8971.358;8958.171;8960.547;8960.679;8939.738;8917.457;8891.117;8861.535;8825.94;8814.032;8804.183;8758.599;8720.742;8678.745;8620.967;8576.2;8536.395;8489.573;8434.172;8369.603;8310.226;8258.057;8204.168;8144.34;8078.145;8012.946;7943.118;7867.374
Total population (demographic statistics) (NPTN);Czechia;11151.208;11058.318;10694.699;10697.858;10671.87;10629.928;10594.438;10566.332;10546.059;10525.347;10514.272;10510.785;10496.088;10474.41;10443.936;10384.603;10298.828;10238.905;10211.216;10197.101;10193.998;10196.916;10216.605;10255.063;10283.859;10294.373;10304.131;10315.241;10327.252;10333.587;10329.855;10319.123;10308.578;10333.355;10361.068;10355.276;10347.318;10342.227;10337.118;10330.213;10323.856;10314.825;10300.591;10304.193;10292.341;10242.098;10186.755;10125.939;10058.62;9988.459;9922.266;9867.632;9826.815;9858.071;9896.58;9876.346;9852.899;9821.039;9779.358;9727.804;9670.685;9624.66;9586.651;9602.006
Total population (demographic statistics) (NPTN);Denmark;5999.444;5956.434;5855.41;5831.404;5814.422;5793.636;5764.979;5728.01;5683.483;5643.475;5614.932;5591.572;5570.572;5547.683;5523.095;5493.621;5461.438;5437.272;5419.432;5404.523;5390.574;5375.931;5358.783;5339.616;5321.799;5304.219;5284.991;5263.074;5233.372;5206.18;5188.628;5171.37;5154.298;5140.939;5132.594;5129.516;5127.024;5120.534;5113.691;5111.619;5114.297;5117.809;5121.572;5123.027;5116.801;5104.248;5088.419;5072.596;5059.862;5045.297;5021.861;4991.595;4963.126;4928.757;4891.86;4864.883;4835.354;4797.381;4759.012;4722.072;4684.483;4647.727;4611.687;4579.603
Total population (demographic statistics) (NPTN);Germany;83965.771;83791.15;83195.871;83160.871;83092.962;82905.782;82657.002;82348.669;81686.611;80982.5;80645.605;80425.823;81039.751;81776.93;81902.307;82110.097;82266.372;82376.451;82469.422;82516.26;82534.176;82488.495;82349.925;82211.508;82100.243;82047.195;82034.771;81914.831;81678.051;81438.348;81156.363;80624.598;80013.896;79433.029;78751.283;78144.619;77839.92;77720.435;77684.873;77858.685;78128.282;78333.366;78407.907;78288.576;78126.35;78091.82;78159.814;78336.95;78673.554;78967.433;78936.666;78688.452;78312.842;78169.289;77909.682;77294.313;76951.336;76600.311;75963.695;75318.337;74714.353;74025.783;73377.631;72814.9
Total population (demographic statistics) (NPTN);Estonia;1374.068;1369.069;1330.002;1329.522;1326.898;1321.977;1317.384;1315.789;1315.407;1315.345;1317.997;1322.696;1327.439;1331.475;1334.515;1337.09;1340.68;1346.81;1354.775;1362.55;1370.72;1379.35;1388.115;1396.985;1390.244;1386.156;1399.535;1415.594;1436.634;1462.514;1494.128;1533.091;1561.314;1569.174;1568.131;1561.9;1552.221;1540.19;1528.781;1518.617;1508.745;1498.414;1487.666;1477.219;1468.333;1460.188;1450.211;1439.576;1429.352;1418.169;1405.951;1392.518;1376.955;1360.076;1345.249;1331.213;1318.946;1308.597;1294.566;1277.086;1258.857;1241.623;1225.077;1211.537
Total population (demographic statistics) (NPTN);Ireland;5145.057;5079.004;5023.721;4985.382;4934.34;4867.316;4807.388;4755.335;4701.957;4657.74;4623.816;4599.533;4580.084;4560.155;4535.375;4489.544;4398.942;4274.137;4159.914;4070.261;3996.521;3931.947;3866.243;3805.174;3754.786;3712.696;3674.171;3637.51;3608.841;3590.386;3576.261;3558.43;3534.235;3513.974;3511.009;3524.949;3540.056;3539.69;3539.209;3533.55;3510.6;3485.8;3453;3412.8;3373.75;3329.1;3282.2;3238.05;3189.55;3137.5;3085.95;3036.85;2992.05;2957.25;2932.65;2915.55;2902.45;2888.8;2877.3;2866.55;2852.65;2836.05;2824.4;2828.6
